index,clarity_label,qwen3-235b-instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED__predicted_label,mixtral-8x22b-Instruct_01_t1_zs_re2_IQ_nscale_VALIDATED__predicted_label,llama-3.1-405b-Instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED__predicted_label,gpt-5_01_t1_zs_re2_Q_openai_VALIDATED__predicted_label,model_prediction
294,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
295,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
296,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
297,Ambivalent,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply
298,Clear Reply,Clear Reply,Clear Reply,Ambivalent,Clear Reply,Clear Reply
299,Clear Reply,Clear Reply,Clear Non-Reply,Clear Non-Reply,Clear Reply,Ambivalent
300,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply
301,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
302,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
303,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Reply,Ambivalent
304,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
305,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
306,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
307,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
